tempo,key,mode,danceability,energy,valence,acousticness,speechiness,liveness,loudness,duration_ms,popularity,is_hit
94.948,4,0,0.843,0.8059999999999999,0.613,0.143,0.269,0.0771,-5.9460000000000015,270507,80,1
94.933,4,0,0.8370000000000001,0.8340000000000001,0.679,0.2,0.248,0.0914,-3.875,239360,47,1
138.852,0,1,0.41,0.539,0.141,0.00425,0.0302,0.117,-8.412,274800,65,1
138.917,0,1,0.414,0.5329999999999999,0.126,0.0037,0.0308,0.176,-8.445,278440,48,1
119.854,7,1,0.736,0.802,0.871,0.00149,0.0663,0.14,-8.527000000000001,225973,46,1
119.311,1,0,0.746,0.443,0.272,0.282,0.0771,0.14,-7.693,274227,60,1
95.468,6,0,0.518,0.83,0.527,0.0404,0.0386,0.375,-6.814,256133,55,1
93.898,3,0,0.637,0.759,0.741,0.0504,0.0305,0.0642,-6.388999999999999,257067,64,1
121.984,1,0,0.69,0.871,0.561,0.0359,0.0329,0.0347,-5.484,220160,53,1
138.009,5,0,0.713,0.6779999999999999,0.7340000000000001,0.273,0.102,0.149,-3.525,271333,77,1
68.88,5,0,0.632,0.631,0.684,0.311,0.13,0.142,-3.801,268027,46,1
139.821,1,1,0.557,0.5529999999999999,0.253,0.247,0.0319,0.125,-7.954,239987,63,1
139.76,1,1,0.56,0.541,0.278,0.23,0.0288,0.118,-7.97,240000,58,1
139.803,1,1,0.561,0.5429999999999999,0.243,0.26,0.0324,0.124,-8.498,240867,68,1
85.031,9,1,0.61,0.4970000000000001,0.7390000000000001,0.32,0.0279,0.0884,-9.88,250360,70,1
169.938,9,1,0.556,0.517,0.779,0.307,0.0287,0.077,-8.769,251253,62,1
142.137,0,1,0.754,0.8190000000000001,0.818,0.0684,0.112,0.345,-6.8329999999999975,215800,64,1
88.684,7,1,0.648,0.622,0.51,0.00152,0.0428,0.109,-6.063,278067,63,1
99.905,9,0,0.627,0.888,0.591,0.0528,0.0388,0.136,-4.523,214067,53,1
175.815,1,1,0.627,0.8,0.912,0.21,0.162,0.1369999999999999,-6.945,217573,72,1
127.641,11,0,0.845,0.5760000000000001,0.461,0.139,0.153,0.0764,-5.15,256027,66,1
94.02,11,0,0.68,0.625,0.8140000000000001,0.0645,0.0353,0.109,-7.0,266000,63,1
178.043,1,0,0.425,0.954,0.933,0.00411,0.0476,0.0555,-3.756,243160,73,1
92.909,8,0,0.743,0.675,0.59,0.0251,0.0953,0.0685,-4.267,214400,79,1
92.927,8,0,0.736,0.6659999999999999,0.578,0.025,0.0783,0.0682,-4.268,214440,46,1
92.907,8,0,0.799,0.642,0.536,0.0463,0.13,0.0616,-5.523,218027,46,1
132.975,6,1,0.652,0.917,0.459,0.0082,0.0548,0.0509,-6.72,239027,76,1
90.16,10,0,0.5920000000000001,0.562,0.208,0.00373,0.0239,0.223,-6.869,250173,66,1
92.96,0,0,0.759,0.6990000000000001,0.907,0.202,0.0307,0.443,-5.745,211067,77,1
92.96,0,0,0.757,0.725,0.883,0.185,0.0315,0.568,-4.86,211160,38,1
134.001,2,1,0.698,0.5329999999999999,0.275,0.542,0.0437,0.333,-6.246,273440,61,1
152.088,1,0,0.6709999999999999,0.7659999999999999,0.906,0.139,0.0634,0.26,-9.218,235573,49,1
112.845,9,1,0.7020000000000001,0.898,0.731,0.00854,0.0373,0.0917,-6.002999999999999,169760,70,1
99.693,7,1,0.847,0.402,0.752,0.0118,0.0641,0.283,-9.952,259440,66,1
99.717,7,1,0.85,0.398,0.713,0.0117,0.0534,0.263,-9.816,258113,55,1
108.122,7,0,0.607,0.317,0.111,0.732,0.029,0.086,-10.244000000000002,230933,64,1
128.03799999999998,1,1,0.629,0.511,0.181,0.114,0.0326,0.0588,-8.651,331240,70,1
107.891,6,1,0.8809999999999999,0.8740000000000001,0.858,0.0175,0.139,0.154,-4.505,227933,71,1
121.913,5,0,0.8190000000000001,0.299,0.515,0.153,0.122,0.3,-11.964,227907,64,1
168.12,0,1,0.555,0.698,0.816,0.403,0.0287,0.0851,-8.874,277267,74,1
